run_id,job_id,canonical,matched_alias,evidence_text,evidence_field,start_char,end_char,context_before,context_after,title,source,country,expected_skills,false_positive,reviewer_notes
75,3,Artificial Intelligence,ia,IA,description,214,216,tée en compétences tout en participant à la réalisation des projets data 360 et ,". Il est également en charge de l'utilisation des technologies Big Data et IA, d",DATA SCIENTIST,adzuna,fr,,,
75,4,Chef,Chef,chef,description,476,480,: 3 Vos activités principales : Sous l’autorité du directeur de programme ou du , de projet en charg...,Data Scientist,adzuna,fr,,,
75,8,Monday.com,monday,Monday,description,290,296,of gender. Job title: Data Scientist Location: Paris Work arrangements: Hybrid (,", Tuesday, Wednesday onsite) About the job We are a global biopharmaceutical com",Data Scientist,adzuna,fr,,,
75,11,E-commerce,E-commerce,e-commerce,description,68,78,Pioneer of online flash sales since 2001 and key player in European ,", Veepee collaborates with over 7,000 brands to offer highly discounted products",Data Scientist,adzuna,fr,,,
75,12,Monday.com,monday,Monday,description,294,300,f gender. Job title: Data Scientist Location: Paris _Work arrangements: Hybrid (,", Tuesday, Wednesday onsite)_ _About the job_ We are a global biopharmaceutical ",Data Scientist,adzuna,fr,,,
75,26,Artificial Intelligence,ai,AI,description,89,91,e Artefact is a French consulting and engineering firm specializing in data and ,", and a leader in Europe. Headquartered in Paris, we are now present in 23 count",Senior Data Scientist,adzuna,fr,,,
75,27,Artificial Intelligence,ia,IA,description,223,225,tée en compétences tout en participant à la réalisation des projets data 360 et ,". Il est également en charge de l'utilisation des technologies Big Data et IA, d",DATA SCIENTIST CONFIRME,adzuna,fr,,,
75,29,Artificial Intelligence,ia,IA,description,469,471,"valoriserez et amplifierez l’usage de l’ensemble des leviers numériques, Data & ", pour répondre aux enjeux de...,Data Scientist - Bordeaux,adzuna,fr,,,
75,30,Artificial Intelligence,ia,IA,description,469,471,"valoriserez et amplifierez l’usage de l’ensemble des leviers numériques, Data & ", pour répondre aux enjeux de...,Data Scientist - Paris,adzuna,fr,,,
75,31,Artificial Intelligence,ai,AI,description,89,91,e Artefact is a French consulting and engineering firm specializing in data and ,", and a leader in Europe. Headquartered in Paris, we are now present in 23 count",Data Scientist Manager,adzuna,fr,,,
75,35,Artificial Intelligence,ai,AI,description,276,278,"randing and performance objectives, Teads drives value by leveraging predictive "," technology to connect quality media, beautiful brand creative, and context-driv",Senior Data Scientist,adzuna,fr,,,
