metric,key,secondary_key,job_count,skill_rows,rate
top_canonical_skill,Artificial Intelligence,,475,475,0.0
top_canonical_skill,Machine Learning,,163,163,0.0
top_canonical_skill,Data Science,,111,111,0.0
top_canonical_skill,Generative AI,,89,89,0.0
top_canonical_skill,Digital Transformation,,59,59,0.0
top_canonical_skill,Python,,50,50,0.0
top_canonical_skill,Large Language Models,,49,49,0.0
top_canonical_skill,Data Engineering,,41,41,0.0
top_canonical_skill,Agentic AI,,39,39,0.0
top_canonical_skill,Chef,,37,37,0.0
top_canonical_skill,Agile,,30,30,0.0
top_canonical_skill,Business Intelligence,,29,29,0.0
top_canonical_skill,Deep Learning,,25,25,0.0
top_canonical_skill,DevOps,,23,23,0.0
top_canonical_skill,GCP,,23,23,0.0
top_canonical_skill,Product Management,,21,21,0.0
top_canonical_skill,Supply Chain Management,,21,21,0.0
top_canonical_skill,Big Data,,20,20,0.0
top_canonical_skill,Natural Language Processing,,18,18,0.0
top_canonical_skill,Computer Vision,,17,17,0.0
top_canonical_skill,Java,,17,17,0.0
top_canonical_skill,Cybersecurity,,16,16,0.0
top_canonical_skill,Retrieval-Augmented Generation,,16,16,0.0
top_canonical_skill,Azure,,15,15,0.0
top_canonical_skill,E-commerce,,15,15,0.0
top_canonical_skill,Information Systems,,15,15,0.0
top_canonical_skill,MLOps,,15,15,0.0
top_canonical_skill,Angular,,14,14,0.0
top_canonical_skill,Full Stack Development,,13,13,0.0
top_canonical_skill,AWS,,12,12,0.0
top_matched_alias,ia,Artificial Intelligence,218,218,0.0
top_matched_alias,ai,Artificial Intelligence,198,198,0.0
top_matched_alias,Machine Learning,Machine Learning,135,135,0.0
top_matched_alias,Data Science,Data Science,108,108,0.0
top_matched_alias,intelligence artificielle,Artificial Intelligence,52,52,0.0
top_matched_alias,transformation digitale,Digital Transformation,52,52,0.0
top_matched_alias,ia générative,Generative AI,51,51,0.0
top_matched_alias,Python,Python,50,50,0.0
top_matched_alias,Chef,Chef,37,37,0.0
top_matched_alias,llm,Large Language Models,34,34,0.0
top_matched_alias,ml,Machine Learning,26,26,0.0
top_matched_alias,Deep Learning,Deep Learning,25,25,0.0
top_matched_alias,Agile,Agile,24,24,0.0
top_matched_alias,DevOps,DevOps,23,23,0.0
top_matched_alias,bi,Business Intelligence,22,22,0.0
top_matched_alias,ingénieur data,Data Engineering,22,22,0.0
top_matched_alias,supply chain,Supply Chain Management,21,21,0.0
top_matched_alias,Big Data,Big Data,20,20,0.0
top_matched_alias,GCP,GCP,19,19,0.0
top_matched_alias,Java,Java,17,17,0.0
top_matched_alias,genai,Generative AI,16,16,0.0
top_matched_alias,Generative AI,Generative AI,16,16,0.0
top_matched_alias,product owner,Product Management,16,16,0.0
top_matched_alias,rag,Retrieval-Augmented Generation,16,16,0.0
top_matched_alias,Agentic AI,Agentic AI,15,15,0.0
top_matched_alias,Azure,Azure,15,15,0.0
top_matched_alias,Data Engineering,Data Engineering,15,15,0.0
top_matched_alias,nlp,Natural Language Processing,15,15,0.0
top_matched_alias,Angular,Angular,14,14,0.0
top_matched_alias,Computer Vision,Computer Vision,14,14,0.0
skill_by_source,adzuna,Artificial Intelligence,475,566,0.0
skill_by_source,adzuna,Machine Learning,163,213,0.0
skill_by_source,adzuna,Data Science,111,130,0.0
skill_by_source,adzuna,Generative AI,89,132,0.0
skill_by_source,adzuna,Digital Transformation,59,75,0.0
skill_by_source,adzuna,Python,50,91,0.0
