run_id,canonical,job_id,matched_alias,evidence_text,evidence_field,start_char,end_char,title,description_excerpt,source,country,expected_skills,false_positive,reviewer_notes
75,Agentic AI,214,agentic,Agentic,description,157,164,Data Scientist - Ingénieur IA F/H,"Nous recrutons un Data Scientist / Ingénieur IA pour concevoir et industrialiser des modèles avancés au cœur de problématiques industrielles complexes ( IA, Agentic, données 3D, documents techniques, optimisation ). Vous interviendrez sur des sujets où les approches standards atteignent leurs limites, avec un enjeu clé",adzuna,fr,,,
75,Agentic AI,245,agentic,agentic,description,433,440,Senior Data Scientist NLP/GenAI - Catalog,"About Mirakl: Founded in 2012, Mirakl has been at the forefront of marketplace innovation, empowering every business to compete in the platform economy. Today, Mirakl’s operating system combines an enterprise marketplace solution (Mirakl Platform) that enables retailers and B2B organizations to launch, scale, and opera",adzuna,fr,,,
75,Agentic AI,388,agents ia,Agents IA,title,46,55,"Data Scientist / AI Engineer – IA Générative, Agents IA & MLOps - Freelance","Description du poste Taux journalier (TJM): Budget : 500 à 520 € HT/j (selon profil et séniorité) Data Scientist / AI Engineer – IA Générative, Agents IA & MLOps ️ Informations pratiques : Département : Lille (75) ️ Démarrage : Août/Septembre 2026 ⏳ Durée : 12 mois, reconductible Contrat : CDI ou freelance Budget : 500",adzuna,fr,,,
75,Agentic AI,570,Agentic AI,Agentic ai,title,0,10,Agentic ai & Tool Developer H/F,"ABOUT THE ROLE We are looking for an Agentic AI & Tool Developer to design, develop and maintain autonomous AI solutions across the E2E Supply Chain. In this role, you will enable advanced reasoning, planning and automation, helping solve complex business problems in a global and highly dynamic environment. You will wo",adzuna,fr,,,
75,Agentic AI,870,agentic,Agentic,title,12,19,Tech-Lead - Agentic Data Engineer - Clermont-Ferrand (63) F/H,"Le contexte ? Dans le cadre d'un projet innovant, nous recherchons un Tech Lead / Agentic Data Engineer pour participer à la réalisation d'une preuve de concept (POC) autour d'une plateforme de Business Intelligence dédiée au secteur industriel. Vous interviendrez sur la conception d'une solution SaaS intégrant une cha",adzuna,fr,,,
75,Agentic AI,905,Agentic AI,Agentic ai,title,31,41,Ivvq Manager Lewis Engineering Agentic ai H/F,"- Une réussite portée par notre excellence technologique, votre expérience et notre ambition partagée - Un package de rémunération attractif - Un développement des compétences en continu: parcours de formation, académies et communautés internes - Un environnement inclusif, bienveillant et respectant l'équilibre des col",adzuna,fr,,,
75,Agentic AI,1029,ai agents,AI agents,description,432,441,AI Engineer - Freelance,"Job description AI Engineer / AI Agent Builder (Freelance) Location: Paris or Bordeaux Start: ASAP Contract: Freelance, full-time On-site: 4 days per week About the mission We are supporting a fast-growing French unicorn looking to accelerate the industrialization of AI across the organization. The objective is not sim",adzuna,fr,,,
75,Agentic AI,1067,agentic,agentic,description,60,67,AI Engineer,"AI is central to 360Learning's strategy: our AI Squad ships agentic features that help users discover, create, and administrate content. As an AI Engineer, you'll architect and ship the next generation of these AI systems, from prototype to production. You will join the AI Squad as its second AI Engineer, working close",adzuna,fr,,,
75,Agentic AI,1086,agentic,agentic,description,433,440,Senior AI Engineer,"About Mirakl: Founded in 2012, Mirakl has been at the forefront of marketplace innovation, empowering every business to compete in the platform economy. Today, Mirakl’s operating system combines an enterprise marketplace solution (Mirakl Platform) that enables retailers and B2B organizations to launch, scale, and opera",adzuna,fr,,,
75,Agentic AI,1112,agents ia,agents IA,description,28,37,AI Engineer F/H,"Concevoir et développer des agents IA (LangGraph, Pydantic AI) et des systèmes RAG hybrides (Graph-RAG, RAPTOR, FAISS/BM25) pour l'analyse automatisée de données et d'incidents. • Industrialiser des solutions full-stack (FastAPI, React, Docker, OAuth2) intégrant des briques d'IA générative, avec déploiement sur cluster",adzuna,fr,,,
75,Artificial Intelligence,36,ai,AI,description,15,17,Data Scientist: France,"Shift delivers AI agents that transform insurers' most critical work. By combining deep industry expertise and unmatched data resources, Shift provides proven results that have earned the trust of hundreds of the world's leading insurers. Our insurance-grade AI is accurate, explainable, and secure—empowering human expe",adzuna,fr,,,
75,Artificial Intelligence,108,intelligence artificielle,intelligence artificielle,description,155,180,Data Scientist F/H,L'IIAS s'appuie notamment sur : Un entrepôt de données de santé (EDS) permettant l'exploitation sécurisée des données cliniques. Une équipe spécialisée en intelligence artificielle et data science. Une équipe de développement web chargée de concevoir les applications et interfaces destinées aux utilisateurs métiers. De,adzuna,fr,,,
75,Artificial Intelligence,312,ia,IA,title,24,26,Senior Data Scientist - IA Générative F/H,"Rejoignez notre équipe lyonnaise dans des projets innovants à la pointe de l'IA et du Machine Learning, dans un environnement propice à la formation et au développement continu. Nos clients sont des grands comptes de secteurs d'activité variés (Industrie, Transport, Logistique, Banque, Assurance, Energie). Vos missions",adzuna,fr,,,
75,Artificial Intelligence,459,ai,AI,description,167,169,Data & Strategy Consultant,"Who We Are Singulier is a strategy and transformation consulting firm working with private equity funds and their portfolio companies on high-impact digital, data and AI topics. We help investment funds, CEOs and leadership teams answer critical strategic questions and drive transformation with a pragmatic, hands-on ap",adzuna,fr,,,
75,Artificial Intelligence,568,intelligence artificielle,Intelligence Artificielle,description,120,145,DATA ANALYST POWER BI (F/H),"Novencia accompagne ses clients dans leurs projets de transformation digitale, technologique et data. Expert en Data et Intelligence Artificielle nous aidons nos clients à exploiter et valoriser leurs données sous toutes ses formes en les accompagnant sur des projets de Data Gourvernance, Data Architecture, Data Scienc",adzuna,fr,,,
75,Artificial Intelligence,937,ai,AI,title,31,33,Alternant Product Owner Data & AI F/H,"Informations générales Entité de rattachement Avec le premier réseau long-courrier au départ de l'Europe, le groupe Air France /KLM est un acteur majeur du transport aérien mondial. Ses principaux métiers sont le transport aérien de passagers, de fret et la maintenance aéronautique. Référence 2026-24090 Intitulé du pos",adzuna,fr,,,
75,Artificial Intelligence,1022,ia,IA,description,54,56,Data Engineer confirmé / senior F/H,"Dans le cadre du développement de son activité Data & IA, eXalt Lyon recherche un(e) Data Engineer confirmé(e) pour intervenir sur des projets de conception, de développement et d’évolution de plateformes et pipelines de données. Au sein d’équipes techniques pluridisciplinaires, vous participez à la mise en place de tr",adzuna,fr,,,
75,Artificial Intelligence,1036,Artificial Intelligence,artificial intelligence,description,280,303,AI Enablement Lead [gn] Data Intelligence,"This position is listed on behalf of a partner company, who manages all applications and next steps. Our partner is looking for an AI Enablement Lead [gn] Data Intelligence based in France. This role is designed for a hands-on AI leader who will drive the adoption and scaling of artificial intelligence capabilities acr",adzuna,fr,,,
75,Artificial Intelligence,1072,ai,AI,title,0,2,AI Engineer — Core AI,"Are you looking to have an impact on the daily life of millions of entrepreneurs in France (and tomorrow in Europe)? Are you looking for a work environment that values trust, proactivity, and autonomy? Are our Engineering principles aligned with your vision? Then Pennylane is the right place for you! Our vision We aim ",adzuna,fr,,,
75,Artificial Intelligence,1119,ai,AI,title,5,7,LEAD AI ENGINEER H/F,"Le contexte : Le pôle IA, rattachée à la Direction des systèmes d'information de LCL, est une équipe à taille humaine composée d'une équipe scientifique (Data Science & Data Engineering), trois chefs de projets scientifiques, un référent architecture et de son responsable. Il a vocation à proposer des solutions innovan",adzuna,fr,,,
75,Chef,4,Chef,chef,description,476,480,Data Scientist,Informations générales Référence BS092ACA-113980 Date limite de candidature 31/12/2026 Versant Fonction publique d'Etat Catégorie Catégorie A (cadre) Nature de l'emploi Emploi ouvert aux fonctionnaires et/ou contractuels Domaine et métier Numérique - Data Scientist Type de poste Technique et spécialisé Statut du poste ,adzuna,fr,,,
75,Chef,430,Chef,Chef,title,0,4,Chef De Section - Data Analyst,"Vos missions en quelques mots Chef(fe) de la section « Parcours professionnel et conditions de vie », vous serez responsable d’une équipe de 2 chargés d’études (data scientists ou analystes de données), en charge de la réalisation de statistiques et études nationales ou territorialisées sur les thèmes du parcours profe",adzuna,fr,,,
75,Chef,470,Chef,Chef,title,0,4,Chef de projet IA,"Rejoignez nos équipes au sein d'une entreprise où chaque jour est une opportunité de façonner l'avenir avec les technologies les plus innovantes. Si souhaitez repousser les limites de la technologie, nous avons une place pour vous ! Notre ADN : Expertise Innovation Collaboration Engagement Éthique Nous recherchons un C",adzuna,fr,,,
75,Chef,533,Chef,CHEF,title,0,4,CHEF SECTION INGENIERIE DATA - SENIOR DATA ENGINEER,"Vous évoluerez au sein de la division architecture data, à la tête de la section ingénierie data, en charge de la mise en œuvre et de l'exploitation des solutions de gestion et de traitement de la donnée. À ce titre, vous contribuerez et apporterez votre expertise technique à la collecte, à l'intégration et à la struct",adzuna,fr,,,
75,Chef,573,Chef,Chef,title,0,4,Chef-Fe de Projet Po Standardisation de Service Digital Client H/F,"Dans un secteur aéronautique en pleine transformation digitale, le/la chef-fe de projet pilotera le développement de services digitaux tout en en assurant le juste niveau de standardisation. Il/elle sera responsable de la définition et de l'exécution de la roadmap produit, en collaboration étroite avec l'ensemble des p",adzuna,fr,,,
75,Chef,617,Chef,Chef,title,0,4,Chef de Projet Informatique - Domaine Data Engineering H/F,"Vos missions Vous souhaitez intégrer une équipe dynamique et à taille humaine au sein d'une entreprise solide et d'un grand groupe en développement constant ? Vous souhaitez travailler sur un enjeu d'aujourd'hui et plus encore de demain : la donnée ? Euro-Information, la Fintech de Crédit Mutuel Alliance Fédérale struc",adzuna,fr,,,
75,Chef,645,Chef,Chef,title,23,27,Alternance – Assistant Chef de Projet en Intelligence Artificielle (H/F),"Digital Campus, l'école tech et créative du digital, collabore avec de nombreuses entreprises et l’une d’entre elle recherche un.e assistant.e chef de projet en Intelligence Artificielle . Missions : En tant qu’ Assistant(e) Chef de Projet en Intelligence Artificielle , vous interviendrez sur des projets innovants mêla",adzuna,fr,,,
75,Chef,712,Chef,Chef,title,26,30,ALTERNANCE - Assistant(e) Chef de Projet Change IA (H/F),"Description Alternance de 12 mois à partir de septembre 2026. Localisation : Pantin (93) Equipe Change Data/ IA, direction Data Transformation Contexte : Au sein de la direction Data Transformation d'Hermès, l'équipe Change Data & IA accompagne le déploiement de la data et de l’intelligence artificielle au service des ",adzuna,fr,,,
75,Chef,801,Chef,Chef,description,129,133,"Développeur-euse, spécialisé-e dans les projets utilisant l'intelligence artificielle(F/H)","Vos missions en quelques mots Rattaché(e) au Bureau Innovation et Fabrique Numérique (IFN) et placé(e) sous la responsabilité du Chef de bureau, vous intervenez en tant que Développeur-euse, spécialisé-e dans les projets utilisant l’intelligence artificielle. À ce titre, vos principales missions (liste non-exhaustive) ",adzuna,fr,,,
75,Chef,902,Chef,chef,description,170,174,Développeur Full Stack Python / Angular - Freelance,"Description du poste Taux journalier (TJM): 430 Contexte L’équipe, actuellement est composée de Data Engineer, Data Scientist, développeurs Full Stack, tech lead et d’un chef de projet. Elle est dynamique, motivée et pro-active, avec une forte culture d’entraide et de bonne ambiance. Le consultant devra posséder les so",adzuna,fr,,,
75,Data Engineering,274,Data Engineering,Data Engineering,description,38,54,Data Scientist - Santé Numérique Alternance H/F,"Dans le cadre du Master of Science en Data Engineering & Cloud Computing, aivancity, pour la rentrée de septembre 2026, une opportunité d'alternance au sein de l'une de ses entreprises partenaires. aivancity accompagne un acteur majeur du secteur de la santé numérique (HealthTech) dans le recrutement d'un(e) alternant(",adzuna,fr,,,
75,Data Engineering,372,ingénieur data,Ingénieur Data,title,0,14,Ingénieur Data Scientist Confirmé - Industrie - le Plessis Robinson H/F,"Nous recrutons un.e Ingénieur.e Data Scientist confirmé.e pour rejoindre notre BU INDUSTRIE au sein de l'agence Data & Process Intelligence, spécialisée dans l'accompagnement de nos clients dans leurs problématiques associées à la transformation digitale. Nos offres se déclinent autour de la data intelligence & de la m",adzuna,fr,,,
75,Data Engineering,521,Data Engineering,data engineering,description,307,323,Chef de Projet Technique Data - Senior - CDI H/F,"L'équipe Cloud 4 Data, forte de 70 CuriousMind, joue un rôle clé à la fois dans les projets de transformation digitale de nos clients, mais également dans l'évolution croissante de la région Talan Sud Est. Ce pôle ambitionne de continuer à se développer sur les expertises suivantes : analyse de la donnée, data engineer",adzuna,fr,,,
75,Data Engineering,547,ingénieur data,Ingénieur Data,title,0,14,Ingénieur Data Sénior H/F,"Notre équipe pluridisciplinaire Tech & Product, d'environ 55 personnes, oeuvre au quotidien pour enrichir nos logiciels phares (ProDevis, ProDevis START, MyPricer et ELCIA OnLine), développer notre écosystème cloud et apporter de l'innovation à nos clients. Nous travaillons au sein du Service Produit avec une organisat",adzuna,fr,,,
75,Data Engineering,559,ingénieur data,Ingénieur data,title,23,37,ALTERNANCE - Assistant Ingénieur data et chimie (H/F),"Description Alternance à pourvoir à partir septembre 2026 pour une durée de 12 mois. Localisation : Pantin (93500) Contexte : L'alternance sera réalisée au sein du laboratoire chimie, de l’équipe Expertises Scientifiques et Réglementation d'Hermès Maroquinerie-Sellerie. La connaissance de la composition chimique des ma",adzuna,fr,,,
